A,B,C,D,E,F,G,H,I,J,K,L,M,N,O
54,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0
55,0,0,0,0,1,2,0,0,0,0,0,2,0,0,1
56,0,0,1,0,0,0,0,0,0,2,1,0,2,2,0
57,0,0,0,0,1,1,0,0,0,2,0,1,2,2,0
58,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0
59,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
60,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1
61,0,1,0,0,1,1,0,0,0,1,0,0,0,0,2
62,0,1,2,0,0,1,0,0,0,0,0,0,0,2,1
63,0,0,0,2,0,0,1,0,0,2,0,2,1,0,0
64,0,0,0,0,1,0,0,0,1,0,0,2,0,0,1
65,0,1,0,0,0,2,0,0,0,0,1,2,0,0,0
66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
67,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
68,0,0,0,2,0,0,0,0,0,1,0,2,0,0,1
69,0,0,0,0,1,1,0,2,0,0,0,0,0,2,0
70,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0
71,2,0,0,0,1,1,0,1,0,0,0,2,0,0,0
72,0,1,0,0,0,1,0,1,0,0,2,0,0,2,0
73,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0
74,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
75,0,0,0,0,0,0,1,0,2,0,0,0,0,2,1
76,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0
77,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
78,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0
79,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1
80,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0
81,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
82,0,0,0,0,0,1,0,2,0,0,0,1,0,2,1
83,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0
84,0,1,1,0,2,0,0,0,0,0,1,2,0,0,0
85,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1
86,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0
87,0,0,1,0,0,0,0,0,0,2,2,1,0,0,1
88,0,0,0,2,0,2,2,0,0,0,0,0,1,2,0
89,0,1,0,0,0,2,0,0,0,0,0,2,0,1,2
90,0,2,0,2,1,0,0,2,0,1,0,2,0,0,2
91,0,0,1,0,2,0,0,0,2,2,0,0,0,2,1
92,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1
93,0,1,0,0,0,1,0,0,2,1,0,0,0,2,1
94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
95,0,0,2,0,0,0,1,2,2,0,1,0,0,0,1
96,0,2,0,0,0,0,0,1,0,0,0,1,2,2,0
97,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0
98,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
99,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
100,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0
101,0,0,0,0,1,1,1,0,0,0,0,0,2,2,0
102,1,0,2,0,2,0,0,0,0,0,0,0,0,2,1
103,0,0,0,0,1,0,1,0,2,0,0,0,0,0,2
104,0,0,0,0,0,2,1,0,0,1,0,2,0,0,0
105,0,0,0,0,0,1,1,0,0,0,2,0,0,2,2
106,0,1,1,0,1,1,0,0,0,0,0,0,0,2,0
107,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1
108,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0
109,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0
110,0,2,0,0,0,1,0,2,0,0,0,2,1,0,0
111,2,2,0,0,1,0,0,1,0,0,0,2,0,1,1
112,0,1,1,0,1,2,0,0,0,0,0,2,0,0,0
113,0,0,1,0,1,0,2,0,2,0,1,2,2,0,0
114,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
115,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0
116,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0
117,0,1,0,2,0,0,0,0,0,2,0,0,1,2,0
118,0,0,0,0,0,0,1,1,2,1,0,2,0,0,1
119,0,0,0,0,2,0,0,0,0,2,0,0,1,2,0
120,0,1,0,2,1,1,0,0,0,2,0,0,1,2,0
121,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0
122,0,1,1,0,0,1,2,0,0,0,0,0,0,0,0
123,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0
124,0,0,0,0,0,1,0,2,0,0,0,1,0,2,0
125,0,0,0,2,0,0,1,0,0,0,0,0,2,2,0
126,0,0,0,0,0,0,1,2,0,0,0,0,0,2,1
127,0,1,0,2,0,2,0,0,0,0,1,2,0,0,0
128,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
129,0,0,0,0,0,0,2,0,1,2,0,0,1,2,0
130,0,0,0,0,1,0,0,2,0,2,0,2,0,0,0
131,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
132,0,0,2,1,1,0,0,2,1,0,1,1,0,2,1
133,0,0,0,2,0,0,1,0,1,0,0,2,1,0,0
134,0,0,2,0,0,1,0,0,0,1,0,0,0,2,0
135,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0
136,0,2,0,0,1,1,0,1,0,0,1,0,1,2,1
137,0,0,2,0,0,0,1,2,0,0,0,0,0,0,1
138,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
139,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0
140,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0
141,0,1,0,0,0,1,0,0,0,0,2,0,0,2,0
142,2,0,0,0,0,1,0,2,1,1,0,2,1,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
144,0,2,0,2,1,0,0,0,0,2,0,2,1,0,0
145,0,0,0,1,0,1,0,0,2,0,0,2,0,2,0
146,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0
147,0,0,0,0,0,0,0,1,2,1,0,0,0,2,2
148,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
149,0,2,0,0,0,2,0,0,0,0,2,0,0,1,1
150,0,2,0,2,2,0,0,0,1,0,0,2,0,0,1
151,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1
152,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0
153,1,2,1,0,0,1,2,0,1,0,0,0,1,2,0
154,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
155,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0
156,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
157,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
158,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0
159,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0
160,0,0,1,0,2,1,0,0,0,0,0,0,0,2,1
161,0,0,0,2,0,0,1,0,1,0,0,2,0,0,2
162,0,1,0,0,0,0,2,0,0,0,0,0,0,2,0
163,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
164,0,1,0,0,0,1,0,0,0,0,0,0,1,2,0
165,0,0,2,0,2,2,1,0,0,2,0,0,1,2,2
166,0,0,2,0,0,0,2,0,0,2,0,0,1,2,1
167,0,1,0,0,0,1,0,1,0,2,0,0,1,2,0
168,0,2,1,0,1,0,0,0,0,0,0,2,0,0,1
169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,2,2,1,0,2,2,0,0,1,0,2,0
171,0,2,0,0,0,1,0,1,0,0,0,2,2,0,0
172,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
173,0,1,0,0,1,1,0,1,0,0,0,0,0,2,0
174,0,0,0,2,0,0,2,0,0,0,0,2,2,0,0
175,0,0,2,2,1,0,1,0,0,0,0,2,0,0,2
176,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0
177,0,0,0,0,0,1,0,0,2,0,2,2,0,0,1
178,0,0,2,0,0,0,0,2,0,0,0,2,0,0,0
179,0,0,0,1,1,1,0,0,2,0,0,2,0,2,1
180,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0
181,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1
182,1,0,0,2,2,0,0,2,0,0,0,2,0,0,1
183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,2,0,0,1,0,0,2,2,2,0,0,0
185,0,0,0,2,0,2,1,0,1,0,0,2,1,0,1
186,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1
187,1,0,0,2,0,0,0,2,2,0,0,0,0,0,2
188,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
189,0,0,0,0,1,0,2,0,0,2,0,2,1,0,0
190,0,0,0,0,1,2,1,1,0,2,0,0,0,0,0
191,0,0,0,0,1,0,0,0,0,0,0,2,0,1,2
192,0,0,0,0,1,2,0,0,2,2,0,0,1,0,0
193,0,0,1,0,1,0,0,0,0,1,0,1,0,2,0
194,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1
195,0,0,0,0,0,0,1,2,0,0,2,1,1,2,0
196,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0
197,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
198,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
199,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0
200,0,1,0,1,2,0,1,0,2,0,0,2,0,2,1
201,0,0,2,0,0,0,0,0,0,0,0,1,0,2,0
202,2,0,0,0,1,0,0,0,1,0,2,0,1,0,0
203,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
204,2,0,2,2,0,1,0,0,1,0,0,2,1,0,0
205,0,0,0,2,0,0,0,0,0,0,0,2,1,2,1
206,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0
207,0,0,1,0,0,1,2,0,2,1,0,0,0,2,1
208,0,1,2,0,0,1,0,0,0,0,0,0,0,2,1
209,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0
210,0,0,0,0,0,0,1,0,2,0,0,2,1,0,1
211,0,1,0,0,0,1,0,2,0,0,2,0,0,2,1
212,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0
213,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
214,0,1,0,0,0,1,0,0,2,0,0,0,0,2,1
215,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0
216,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
217,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
218,0,0,1,0,0,0,1,1,0,0,0,0,0,2,1
219,2,0,0,0,0,1,0,0,2,0,0,1,0,2,0
220,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
221,0,2,0,0,0,1,0,1,0,2,0,2,0,0,0
222,0,2,0,0,1,1,2,1,0,0,2,0,0,2,1
223,0,2,0,0,0,2,0,0,0,1,0,0,1,0,0
224,0,0,1,0,0,0,1,0,0,0,2,2,2,0,0
225,0,0,0,0,2,1,0,1,2,2,2,1,0,2,1
226,0,1,1,2,0,0,0,2,0,0,2,2,0,0,0
227,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0
228,0,1,2,0,0,1,0,2,0,0,1,0,0,2,0
229,0,0,1,0,0,0,2,0,1,0,2,0,0,0,1
230,0,2,0,0,0,2,0,0,0,0,1,0,2,0,0
231,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1
232,0,1,0,0,1,1,0,1,0,0,1,0,0,2,1
233,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0
234,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0
235,0,1,0,2,0,1,0,1,1,0,0,0,0,2,0
236,0,0,0,0,0,2,0,2,1,0,0,0,0,0,1
237,0,0,0,2,0,0,1,0,2,0,0,2,0,0,1
238,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2
239,0,0,0,0,0,1,2,0,2,0,0,0,0,2,1
240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
241,0,0,0,0,0,0,0,1,2,0,2,0,2,0,2
242,0,1,0,2,1,2,1,0,0,0,0,2,0,0,1
243,0,0,2,0,1,0,0,2,0,0,0,0,1,2,0
244,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
245,0,1,1,0,0,1,0,0,2,0,0,0,1,2,1
246,0,2,0,0,0,1,0,0,0,2,0,2,1,0,0
247,0,1,1,0,0,1,0,0,0,0,2,0,0,2,0
248,0,0,1,0,2,2,0,0,0,0,0,0,2,0,1
249,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0
250,2,0,0,0,0,1,0,0,0,1,0,2,2,0,0
251,0,0,1,0,0,2,0,1,0,0,1,0,2,0,0
252,0,1,0,0,0,1,1,0,0,0,2,0,0,2,1
253,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
254,0,0,0,0,0,0,1,0,0,2,1,0,0,2,1
255,0,0,0,2,1,0,0,0,0,0,0,2,0,0,0
256,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0
257,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
258,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
259,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0
260,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0
261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0
263,0,0,1,0,2,0,0,1,0,2,0,0,2,0,0
264,0,2,0,2,1,0,0,2,0,0,0,2,0,0,0
265,0,0,0,2,1,0,0,2,0,0,0,2,0,0,0
266,0,0,0,0,0,2,2,1,0,2,0,2,1,0,2
267,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
268,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0
269,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0
270,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0
271,0,0,0,0,0,0,0,0,0,2,1,2,1,0,1
272,0,0,1,0,0,1,0,0,0,2,0,2,1,0,0
273,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0
274,0,1,0,0,0,1,0,1,2,2,0,0,1,0,0
275,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0
276,0,1,0,0,0,1,0,1,0,2,0,0,1,0,0
277,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
278,0,0,1,0,0,2,0,2,0,2,0,0,1,0,0
279,0,1,0,0,0,1,0,2,0,2,0,0,1,2,2
280,0,0,2,0,0,1,0,0,1,0,0,0,1,2,2
281,0,0,0,2,0,0,1,0,0,0,0,0,1,2,1
282,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
283,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0
284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,1,1,0,1,0,2,0,0,0,2,0
286,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
287,0,0,1,0,0,0,1,0,2,0,0,1,0,2,0
288,0,0,1,0,0,0,0,0,0,0,1,1,2,2,0
289,0,2,0,0,0,2,1,0,0,0,0,1,0,2,0
290,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
291,0,0,0,0,0,0,2,0,0,0,0,1,2,2,0
292,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0
294,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0
295,0,0,0,0,0,0,1,1,0,0,2,0,2,0,0
296,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1
297,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0
298,0,0,0,0,0,2,2,1,0,0,0,0,1,2,0
299,0,0,0,2,0,0,1,0,0,0,0,0,1,2,0
300,1,0,0,2,0,0,1,0,1,0,0,2,0,0,0
301,0,0,2,2,0,0,0,2,0,0,2,0,1,2,0
302,0,0,0,1,1,2,2,0,2,0,0,0,0,2,1
303,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0
304,0,0,2,0,1,2,1,0,2,1,0,0,0,0,1
305,0,0,0,2,0,0,1,2,0,0,0,0,0,2,0
306,0,1,1,0,0,1,0,0,0,0,1,0,2,2,0
307,0,1,2,0,0,1,0,0,1,0,0,0,1,2,0
308,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
309,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
310,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
311,0,0,1,0,1,0,1,0,2,0,2,1,0,2,0
312,0,1,1,0,0,1,1,0,0,0,1,0,2,2,2
313,0,0,0,0,0,1,0,2,0,0,0,1,2,2,1
314,0,1,0,0,0,2,0,0,0,1,0,2,1,0,0
315,0,0,0,2,0,0,1,0,0,0,2,2,1,2,2
316,0,0,2,0,0,2,0,0,0,0,0,0,0,0,1
317,1,0,0,0,0,0,2,0,1,2,0,2,0,0,1
318,2,0,2,0,1,0,0,0,2,2,0,0,0,0,0
319,0,0,0,2,0,1,0,0,0,0,0,2,0,2,0
320,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
321,0,0,0,0,2,0,0,0,2,2,0,0,1,0,0
322,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
323,0,0,0,0,0,0,1,2,0,1,0,0,1,0,0
324,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,2,1,2,0,0,1,0,2,0,0
326,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
327,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2
328,0,1,0,2,0,1,1,0,2,0,1,0,1,2,2
329,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
330,0,0,0,2,0,0,2,0,0,2,0,2,0,0,0
331,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0
332,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0
333,0,2,1,0,2,1,0,0,2,0,0,2,1,0,1
334,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0
335,2,2,0,0,2,1,0,0,2,0,0,0,1,2,1
336,0,0,1,0,0,0,1,0,1,0,1,1,0,2,0
337,2,0,0,0,0,1,0,1,1,0,0,0,1,2,2
338,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1
339,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
340,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0
341,1,0,1,0,0,0,1,0,0,0,0,2,0,1,0
342,0,0,1,2,1,0,0,2,0,2,0,2,0,0,0
343,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
344,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1
345,0,0,0,0,1,0,0,1,1,0,0,1,0,2,0
346,0,1,2,2,1,0,0,0,0,0,0,2,0,2,0
347,0,0,1,0,1,0,0,1,1,0,0,0,0,2,0
348,0,0,0,2,1,0,0,0,1,0,0,2,0,0,2
349,1,1,2,0,0,1,0,2,1,0,0,0,0,0,0
350,0,0,0,0,0,1,0,2,1,0,0,1,0,2,0
351,0,1,0,2,1,1,0,2,0,0,0,0,0,2,0
352,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0
353,0,0,0,2,0,2,1,0,0,0,0,2,0,0,1
354,0,1,0,0,1,1,0,0,2,1,0,0,0,2,1
355,0,0,1,0,2,0,0,0,0,0,0,2,2,0,0
356,0,0,2,0,1,2,1,0,0,0,0,0,0,2,0
357,0,0,2,0,0,1,2,0,0,0,0,2,0,0,0
358,0,2,0,0,0,0,2,0,0,0,2,2,0,0,0
359,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
360,0,0,0,2,2,0,0,0,0,0,2,2,0,0,1
361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
362,2,1,0,0,0,1,0,0,0,1,0,0,1,2,1
363,0,1,0,0,0,1,0,0,0,0,0,0,2,2,0
364,0,1,1,0,2,1,0,0,0,0,0,0,0,0,1
365,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
366,0,1,0,0,0,2,0,0,0,0,0,2,1,0,1
367,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1
368,0,0,1,2,0,0,1,0,0,2,0,2,1,2,0
369,0,0,0,0,0,0,0,0,2,2,2,0,0,0,1
370,0,0,1,2,0,0,0,2,0,0,0,2,0,0,0
371,0,0,0,0,0,0,1,0,0,1,0,2,0,0,2
372,0,0,0,0,1,1,0,2,0,0,0,1,2,2,2
373,0,0,0,2,0,0,1,1,0,0,0,0,0,0,1
374,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
375,0,0,0,0,1,1,1,0,0,0,1,0,2,2,2
376,0,0,0,0,0,0,2,0,2,0,0,2,1,0,0
377,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
378,0,0,1,0,1,0,0,2,0,0,0,0,2,0,0
379,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0
380,0,0,1,0,1,0,0,0,0,0,2,2,2,0,0
381,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0
382,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
383,0,0,0,2,1,1,0,0,2,0,0,2,1,0,0
384,0,2,0,0,0,1,2,0,0,0,0,0,1,2,1
385,0,0,2,0,0,0,0,0,0,0,0,1,0,2,1
386,0,0,0,0,0,2,1,0,2,0,0,0,0,2,1
387,0,0,0,0,0,1,0,1,0,0,1,2,2,0,0
388,0,0,1,0,0,0,1,0,0,2,2,1,0,0,0
389,0,0,0,2,0,2,2,0,0,1,0,2,0,0,1
390,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1
391,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
392,2,0,2,0,1,0,1,2,1,1,1,0,0,2,1
393,0,0,0,0,0,0,1,0,0,2,2,0,1,2,1
394,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0
395,1,2,2,0,0,0,1,0,0,1,0,0,0,0,0
396,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0
397,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
398,0,0,2,0,1,0,0,2,0,0,0,1,1,2,2
399,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0
400,0,0,1,0,0,0,2,0,1,0,0,1,0,2,1
401,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0
402,0,2,1,0,1,1,0,0,0,0,0,0,0,2,0
403,0,1,1,0,0,1,1,0,0,0,0,0,0,2,0
404,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0
405,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0
406,0,0,1,0,0,0,1,0,0,0,2,0,2,0,1
407,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,2,0,2,0,1,1,2,0
409,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
410,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
411,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0
412,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0
413,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
414,0,0,2,0,0,0,1,0,0,0,2,0,0,2,0
415,0,0,0,2,0,0,0,2,0,2,0,0,1,0,0
416,0,0,0,2,0,1,0,2,2,0,0,2,0,2,0
417,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1
418,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
419,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0
420,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
421,0,0,0,0,2,0,2,0,0,0,0,0,1,0,2
422,0,0,0,2,2,2,0,0,1,0,0,2,0,0,1
423,0,0,0,2,0,0,2,2,0,2,0,2,0,0,1
424,0,1,0,2,0,1,0,1,0,0,0,0,1,2,0
425,2,0,2,0,1,0,0,2,0,0,0,0,1,0,0
426,0,0,0,0,0,0,1,0,0,2,0,0,2,2,0
427,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1
428,0,0,1,2,0,0,1,0,1,0,0,2,2,0,0
429,0,1,0,0,0,1,0,1,0,0,0,0,1,2,0
430,0,0,0,0,0,0,1,0,0,2,0,0,0,2,0
431,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
433,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
434,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2
