A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T
61,0,1,1,2,0,0,1,1,0,2,0,0,0,1,2,2,0,0,2,0
62,2,0,0,0,1,2,0,0,0,0,1,2,1,1,2,1,0,0,0,2
63,0,1,0,2,0,0,2,2,0,0,0,0,1,0,0,1,0,0,2,2
64,0,0,0,0,0,2,0,0,2,0,0,0,2,1,0,1,0,1,0,0
65,2,0,0,0,0,0,0,2,2,2,0,0,0,2,2,0,2,0,2,1
66,2,2,0,0,1,1,2,1,0,0,0,1,2,0,0,0,1,0,0,0
67,0,2,0,0,1,2,1,0,2,2,0,0,0,0,0,1,0,0,1,0
68,2,1,2,0,1,0,0,0,2,0,0,0,2,1,1,0,0,0,0,1
69,1,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1,0,0
70,1,0,0,1,0,2,0,1,0,1,1,1,2,2,2,0,0,1,1,0
71,2,2,0,2,0,0,2,1,0,0,2,0,2,1,0,1,0,0,2,0
72,1,0,0,0,0,1,0,0,2,2,1,2,0,2,1,0,2,0,0,0
73,0,0,2,2,2,0,2,0,0,0,0,0,2,2,0,0,2,2,0,0
74,2,1,0,2,1,2,2,0,0,0,2,0,0,1,1,0,1,0,1,2
75,0,0,2,0,0,0,1,0,2,1,1,0,0,0,0,0,2,0,0,0
76,0,1,0,2,2,0,2,0,0,0,0,2,0,0,0,0,1,1,2,2
77,0,0,0,0,0,2,0,0,1,1,0,0,0,1,0,0,0,2,1,2
78,0,0,0,0,0,2,2,0,2,0,0,0,1,0,0,2,0,0,0,2
79,2,2,0,2,0,0,2,2,0,1,0,2,1,0,0,2,0,0,0,2
80,1,1,0,0,0,0,1,1,1,2,0,1,0,2,0,1,0,0,1,0
81,1,1,2,0,0,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0
82,0,2,2,2,0,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0
83,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,2,0
84,0,1,0,0,0,0,2,1,2,2,2,2,1,0,2,2,0,0,0,0
85,1,0,2,0,1,0,0,1,0,2,2,0,2,0,0,0,0,0,2,0
86,2,0,0,0,2,0,2,2,0,0,1,0,0,0,1,0,0,1,1,0
87,2,0,0,1,2,0,0,0,0,0,1,2,2,0,0,0,1,1,1,0
88,2,2,0,0,0,0,2,1,0,2,2,0,0,0,0,2,1,2,1,2
89,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0
90,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0
91,0,0,0,0,0,2,1,0,0,0,1,0,1,2,0,2,0,0,2,0
92,0,0,2,0,0,0,1,1,1,0,1,0,0,1,0,2,0,0,0,0
93,1,2,2,0,1,0,0,0,1,0,0,2,0,0,0,0,0,1,2,0
94,2,1,0,0,0,0,2,2,0,0,0,0,0,1,0,0,1,0,0,2
95,2,1,0,0,0,0,0,0,2,0,0,1,1,0,0,1,0,0,2,0
96,1,1,2,0,2,0,0,0,2,2,0,0,1,1,0,0,0,2,2,2
97,2,0,2,0,2,1,1,0,0,0,2,2,0,2,0,0,0,1,0,0
98,2,2,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,2,0,2
99,1,0,0,1,1,0,2,2,1,2,0,0,1,0,0,0,1,0,2,1
100,0,0,0,0,1,0,0,1,2,0,0,2,2,1,0,0,0,0,0,0
101,0,0,0,0,0,1,0,0,2,0,0,0,2,0,0,1,1,2,1,0
102,0,1,0,0,0,0,1,1,2,2,1,2,0,0,0,2,1,0,1,2
103,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0
104,0,1,0,2,1,0,0,1,1,0,0,0,0,0,2,1,2,0,1,0
105,0,2,0,0,0,2,2,1,0,2,1,2,2,0,2,0,1,1,2,0
106,1,0,1,0,2,0,2,2,2,2,0,1,0,1,0,1,2,0,0,1
107,0,1,2,0,0,0,1,1,0,0,1,0,2,1,1,0,1,0,0,0
108,1,0,0,2,0,0,0,1,0,2,0,2,0,1,0,0,0,0,0,1
109,0,0,0,0,0,2,0,2,2,0,0,0,2,1,0,1,0,2,0,0
110,2,1,0,0,0,1,1,1,1,2,1,0,0,2,0,2,0,2,0,0
111,2,0,0,1,0,0,0,0,1,1,0,0,1,0,0,2,2,0,0,0
112,0,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
113,2,1,0,1,0,1,0,2,2,2,0,0,1,0,2,0,0,2,0,2
114,0,0,0,0,0,1,0,0,0,2,2,0,1,1,0,0,1,0,0,0
115,1,2,0,0,1,0,0,0,2,0,0,0,2,2,0,0,1,0,2,0
116,0,0,0,2,0,0,2,0,2,0,0,2,1,0,0,0,1,1,0,1
117,2,0,0,2,0,0,2,2,0,1,0,2,0,0,1,0,1,0,0,2
118,1,0,1,0,0,2,0,0,1,0,2,0,2,1,0,1,0,0,0,0
119,0,0,0,0,1,2,0,0,2,0,0,0,2,0,0,0,0,0,2,0
120,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,1,2,2,0
121,1,0,0,0,1,2,0,2,0,0,0,1,1,1,0,0,0,1,2,0
122,2,1,1,0,0,0,0,2,0,1,0,0,0,2,0,0,1,0,0,0
123,0,0,0,2,0,0,2,1,0,0,0,0,0,2,0,2,0,0,0,0
124,2,0,0,2,0,0,0,0,0,2,0,2,1,2,2,0,0,1,0,0
125,0,0,2,0,1,1,2,0,0,0,1,2,2,2,2,0,0,0,0,0
126,1,0,0,2,0,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0
127,2,0,0,0,1,2,1,0,2,0,0,1,0,0,2,1,0,1,1,1
128,1,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,1,0,0,0
129,0,2,0,0,0,0,2,1,0,1,2,2,0,1,2,0,0,2,0,0
130,0,1,0,0,0,2,0,2,1,1,1,2,0,1,0,0,2,0,2,0
131,2,2,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,2,0
132,0,0,0,0,0,2,0,2,1,0,0,0,0,0,0,0,0,1,2,0
133,0,0,0,0,2,2,1,0,2,2,2,1,2,0,2,0,0,0,2,2
134,0,0,0,2,2,0,2,0,2,2,0,1,2,2,0,2,0,0,1,0
135,0,1,0,0,0,0,0,2,1,0,0,1,0,2,2,0,1,2,0,0
136,2,1,0,0,1,0,1,0,1,2,2,0,0,0,1,1,1,2,0,1
137,1,1,0,2,1,0,0,0,1,0,0,0,0,2,1,2,0,0,2,0
138,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,2,0,0,1,0
139,0,0,0,0,1,2,0,0,0,0,2,0,0,1,0,0,0,1,1,0
140,0,1,2,1,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0
141,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
142,0,1,2,0,0,0,1,0,1,2,1,0,1,1,0,0,2,0,0,0
143,2,1,0,0,2,2,0,0,2,1,2,2,1,0,2,0,0,2,2,0
144,1,0,0,1,0,2,2,0,0,2,2,1,0,1,0,1,1,0,2,0
145,0,0,0,0,0,0,1,2,2,0,0,0,0,1,1,0,0,1,0,0
146,2,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,2,0,0,0
147,2,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0,0,2,0
148,1,2,0,2,0,2,1,2,0,0,0,1,0,0,0,2,2,0,0,0
149,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
150,0,0,0,1,0,0,2,0,2,2,2,1,0,0,2,2,0,0,0,0
151,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,2,0,2,0
152,0,1,0,2,1,0,0,1,0,2,0,0,0,1,1,1,1,0,0,1
153,0,0,1,0,0,2,0,2,1,1,1,0,0,2,0,0,2,2,0,2
154,0,2,0,0,2,1,2,0,0,0,0,0,1,1,0,0,0,2,1,0
155,0,2,0,0,0,0,0,0,0,2,0,1,0,1,0,1,2,1,2,2
156,2,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0,2,0,0
157,1,1,2,2,0,2,0,1,2,1,0,0,0,0,0,0,1,0,0,0
158,0,0,0,0,0,2,1,0,1,1,2,0,0,1,0,0,1,0,0,2
159,2,1,0,0,0,0,0,1,2,0,0,2,2,0,0,2,2,2,2,1
160,1,0,0,0,0,0,0,1,2,1,0,0,0,2,2,1,0,0,0,1
161,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,2
162,2,1,0,2,2,1,2,0,0,0,0,0,0,0,2,0,2,0,0,0
163,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,2,0,1
164,0,0,1,2,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,1
165,0,0,2,2,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1
166,0,0,1,0,1,0,0,0,0,0,0,0,1,0,2,0,0,2,0,2
167,0,1,0,2,0,1,0,1,0,0,1,0,2,0,0,1,0,0,2,2
168,0,0,0,0,0,2,0,0,2,1,0,0,0,1,0,0,1,1,0,0
169,0,0,0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,1,1,1
170,0,0,0,0,0,0,0,0,2,2,1,2,0,0,1,2,0,1,0,1
171,2,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
172,0,1,0,0,0,1,0,0,2,2,0,1,0,1,0,0,2,0,2,2
173,1,1,0,0,0,0,0,0,1,1,0,1,0,2,1,1,0,0,2,0
174,0,0,2,2,0,2,0,1,0,0,0,0,2,1,0,0,1,0,0,2
175,0,2,2,0,0,0,1,0,0,2,2,1,0,1,0,0,2,1,1,0
176,0,0,1,2,0,0,1,0,1,0,0,0,0,2,1,2,0,0,1,2
177,2,0,0,2,0,2,2,1,2,0,0,2,0,0,0,2,0,0,2,0
178,0,2,0,0,0,1,2,0,2,2,0,0,2,0,1,0,0,1,2,0
179,2,0,2,0,2,0,0,0,2,2,1,0,0,1,0,0,1,0,2,0
180,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,0
181,0,0,2,0,0,0,0,1,2,1,0,2,1,2,0,2,0,2,0,0
182,0,0,0,0,0,2,0,2,2,2,0,0,2,2,0,0,0,0,0,0
183,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,2,0,0,0,2
184,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,2,1,0,0,1
185,0,1,2,2,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0
186,0,1,0,0,0,1,2,0,0,0,1,1,2,1,2,2,0,0,1,2
187,0,0,2,1,0,2,2,0,2,2,0,0,0,1,2,0,1,2,0,0
188,0,0,0,1,0,0,2,2,2,0,0,1,0,0,2,0,2,0,1,1
189,0,2,0,0,0,2,0,0,0,0,0,1,2,2,0,0,0,2,0,0
190,2,0,1,0,2,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0
191,1,2,0,0,0,0,1,2,0,0,0,1,0,2,2,0,0,0,2,0
192,2,0,0,0,0,2,0,0,0,0,1,2,0,0,2,0,0,0,1,0
193,0,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,2,0,0,0
194,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,1,0,0,2,0
195,0,2,0,0,0,0,1,0,1,2,0,0,1,0,2,0,2,2,2,0
196,1,0,0,0,0,0,2,1,2,2,0,0,0,2,2,0,0,0,0,1
197,0,2,2,0,0,0,0,0,1,0,0,2,1,0,1,0,1,0,0,0
198,2,2,2,0,0,2,1,1,0,1,0,0,2,1,2,0,0,1,0,0
199,2,0,0,0,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,2
200,0,0,1,2,1,0,0,2,0,0,1,2,0,1,0,0,0,0,0,0
201,0,2,2,0,0,0,2,0,1,0,2,0,0,2,0,1,0,0,2,0
202,0,0,0,0,1,1,0,2,2,0,0,2,2,0,2,0,1,0,0,0
203,2,2,0,0,2,2,0,1,2,0,0,1,2,2,0,2,0,1,0,0
204,0,0,1,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,2,1
205,1,2,0,0,1,0,0,2,2,1,0,2,0,0,0,0,1,0,0,2
206,0,1,0,0,0,0,0,1,0,2,0,1,0,1,1,0,0,2,2,0
207,2,0,0,0,0,2,2,2,0,0,1,0,0,0,2,0,0,0,0,1
208,1,1,0,0,0,0,2,0,1,0,2,0,0,0,1,0,0,1,0,0
209,0,0,0,2,0,0,2,1,1,2,2,0,2,0,1,0,0,2,1,2
210,2,0,0,0,1,0,0,0,2,0,0,0,0,2,0,0,1,2,0,0
211,2,1,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,2,2
212,2,0,0,0,2,0,0,0,0,2,2,0,0,0,1,2,1,0,1,2
213,0,2,0,0,0,1,1,0,0,0,1,2,2,0,2,0,2,0,0,2
214,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0
215,1,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,2,1,0
216,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
217,2,0,0,0,0,0,2,0,2,2,0,0,0,2,0,1,1,1,0,0
218,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0
219,0,2,0,0,0,0,1,1,0,2,2,2,0,0,0,0,2,2,1,2
220,2,1,0,0,2,0,0,2,2,1,0,0,2,1,0,0,2,1,2,0
221,0,1,0,0,2,0,2,2,0,2,0,0,0,1,0,1,1,2,2,2
222,1,0,0,0,1,0,0,2,0,0,2,2,0,2,1,0,0,0,0,2
223,2,1,0,0,0,2,1,2,0,0,0,2,0,1,0,0,0,0,2,0
224,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0
225,1,1,1,1,0,0,1,1,2,1,0,0,2,0,2,0,2,1,1,2
226,0,0,1,0,0,0,0,0,0,1,2,2,0,0,2,0,1,0,0,2
227,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,0,2,0
228,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0
229,0,2,0,2,0,2,2,2,2,2,0,0,0,2,0,0,0,1,0,0
230,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0
231,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,1,2,0
232,1,1,1,0,0,0,2,0,0,0,1,0,0,0,1,2,0,1,1,0
233,2,1,0,0,0,1,0,1,2,1,1,2,0,0,2,2,2,0,1,0
234,0,0,2,0,0,2,1,1,0,0,1,2,0,0,0,0,0,0,0,0
235,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,2,0
236,2,2,0,0,0,0,0,1,2,1,0,0,0,2,0,0,1,0,0,1
237,0,2,0,0,0,0,1,2,1,0,0,0,0,1,1,2,0,0,0,0
238,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,2
239,2,0,1,2,1,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
240,2,2,0,1,1,0,1,0,1,0,2,0,0,0,2,0,2,2,2,0
241,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,1,0
242,2,0,0,1,0,1,1,2,0,0,0,0,2,2,0,0,0,2,2,0
243,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,2
244,0,0,0,0,0,2,0,1,0,2,0,0,0,1,0,2,0,0,2,2
245,0,2,0,0,0,2,0,0,1,0,0,0,0,1,1,1,0,1,2,0
246,0,0,0,1,0,2,0,0,0,2,0,0,2,2,0,0,0,2,0,0
247,1,1,2,2,2,1,0,1,0,0,0,0,2,2,0,1,0,1,0,0
248,2,1,0,0,1,0,0,2,0,1,2,2,0,2,0,2,2,2,0,0
249,1,0,0,2,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2
250,0,0,1,1,1,0,0,1,1,1,0,2,0,1,0,2,2,0,0,0
251,2,2,0,0,0,1,0,1,2,0,1,1,1,0,0,0,0,0,2,0
252,0,0,0,0,0,2,0,2,1,2,1,2,0,1,0,2,1,0,2,0
253,0,0,0,2,0,0,2,1,0,0,0,2,0,0,1,2,0,0,0,0
254,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2
255,2,2,0,0,2,0,0,0,2,0,0,1,0,2,0,1,0,1,2,0
256,0,2,0,0,0,1,0,0,0,2,1,1,0,2,0,1,0,2,2,1
257,0,0,0,0,0,0,0,2,0,0,2,1,1,1,1,1,0,1,0,0
258,0,0,0,0,1,1,0,0,0,2,1,1,0,1,0,0,0,1,0,2
259,1,2,0,0,2,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0
260,2,0,1,0,0,0,0,0,1,0,2,1,0,0,2,0,0,1,0,1
261,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,1,1,0,0
262,0,0,0,0,0,0,2,0,1,1,2,1,0,1,0,1,0,0,0,0
263,2,1,0,2,0,2,0,0,1,2,0,0,0,2,1,0,2,2,1,0
264,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,2,0,0,0,0
265,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,2,0,1
266,2,1,0,2,0,1,0,2,0,2,0,0,0,0,0,1,0,0,0,0
267,1,0,1,2,1,2,1,0,0,2,2,0,0,0,1,0,2,1,0,2
268,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0
269,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,1,2,2,0,0
270,1,2,0,0,2,1,0,0,0,0,0,0,1,0,2,2,0,0,0,0
271,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,0,0,0,2,0
272,2,0,0,0,0,0,2,2,0,0,0,0,1,0,2,0,0,0,2,2
273,0,0,0,0,1,0,1,0,0,2,0,0,0,2,0,0,0,2,2,1
274,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1
275,0,0,0,0,0,0,2,1,1,2,0,0,0,1,0,0,0,2,0,0
276,0,0,0,2,1,0,2,0,2,0,0,0,0,0,1,0,1,0,0,2
277,0,0,0,0,0,2,2,0,0,0,1,2,0,1,0,1,0,2,0,0
278,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,0,0
279,1,2,2,2,0,0,0,1,0,1,2,0,1,0,0,1,2,0,0,0
280,0,0,2,0,0,1,1,0,0,0,0,0,1,2,2,2,1,1,1,0
281,2,0,0,0,2,2,0,1,1,0,0,2,2,0,0,0,0,1,1,0
282,0,0,0,0,0,2,1,0,2,0,0,1,2,0,0,2,1,1,1,0
283,2,2,2,0,1,0,0,0,2,0,2,0,0,2,1,0,0,2,0,0
284,1,2,0,0,0,0,2,1,1,1,1,0,1,0,0,2,1,0,0,0
285,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
286,0,0,1,0,0,2,2,0,0,0,0,1,1,2,0,1,1,0,0,0
287,2,0,0,1,0,2,0,1,0,0,2,2,0,2,1,0,0,0,2,2
288,0,0,2,0,1,0,0,0,0,2,2,0,2,2,0,0,2,2,0,0
289,2,0,0,0,0,0,0,1,2,0,0,2,0,0,1,0,0,2,1,1
290,0,2,0,1,0,0,0,0,0,1,0,2,2,1,0,0,0,2,0,1
291,2,2,0,0,2,2,0,0,0,1,0,2,0,1,0,1,0,1,1,0
292,1,0,0,2,2,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0
293,0,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,2,0
294,2,0,0,0,0,2,0,1,0,0,0,1,0,2,2,0,0,2,0,0
295,0,2,0,0,2,0,1,2,2,0,0,0,2,1,2,0,0,1,0,2
296,1,0,0,0,1,0,1,0,0,2,1,1,0,2,0,0,0,0,0,2
297,0,2,1,0,1,1,0,0,2,0,0,1,2,2,0,0,2,1,0,0
298,1,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,1,0
299,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,0,0,2,2,2
300,0,1,0,2,2,1,0,1,1,0,2,0,0,0,0,2,0,0,0,0
301,0,2,0,0,0,0,1,0,0,0,0,1,0,1,1,0,2,0,0,0
302,0,0,0,0,1,0,2,0,2,2,2,0,2,0,0,1,0,0,0,2
303,0,0,0,0,0,0,0,2,0,0,2,2,1,0,1,0,0,0,2,1
304,2,0,0,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,2,1
305,1,2,1,0,1,0,2,0,2,0,2,0,0,0,0,2,1,0,2,1
306,2,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2
307,2,1,2,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,1,0
308,2,2,0,0,0,2,0,1,0,0,2,0,0,0,1,2,0,2,0,0
309,0,2,0,0,0,0,0,0,0,2,2,0,2,1,2,0,0,1,0,0
310,0,0,1,0,0,0,2,0,1,1,0,0,0,0,0,0,2,0,2,0
311,2,0,0,2,0,0,1,1,1,2,0,1,0,0,1,2,0,0,2,0
312,0,1,0,0,0,0,2,0,0,0,0,0,1,2,2,2,0,0,0,0
313,1,1,0,0,0,1,1,1,0,0,2,1,2,0,0,0,0,0,2,1
314,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,2,1,2
315,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
316,0,2,0,0,0,2,1,1,2,0,0,1,1,0,0,0,0,0,1,0
317,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,2,0,0,2,0
318,0,0,2,2,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1
319,1,0,2,0,0,0,2,0,2,0,0,1,2,2,0,0,0,1,2,2
320,0,0,0,0,2,1,0,1,0,2,0,2,1,1,0,0,0,0,1,0
321,0,2,0,0,0,2,2,0,0,2,0,2,0,2,0,0,2,0,0,0
322,0,1,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,0,2
323,0,2,1,1,0,0,0,0,2,1,0,1,2,0,1,2,0,1,2,2
324,2,2,2,0,0,1,0,0,0,1,0,0,0,2,1,2,2,0,0,0
325,0,0,1,0,2,2,0,0,0,0,1,0,2,0,0,1,0,0,2,0
326,1,0,0,0,0,0,0,2,0,2,2,0,0,1,0,2,0,0,1,2
327,0,1,2,0,0,2,0,0,1,0,1,0,2,0,0,0,1,0,0,0
328,2,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,1,2,0
329,0,0,0,0,2,0,0,0,1,2,1,0,1,1,0,2,1,2,0,2
330,0,0,0,0,0,0,2,0,2,0,2,1,0,1,0,1,1,0,0,2
